OBJECTID,REF_CODE,THEME,NAME,STATUS,MEASURE,GRIDREF,LABEL,HYPERLINK,Shape__Area,Shape__Length,GlobalID
179,1421902,country parks,HIGH WOODS,Known as a Country Park,139.97,TM003270,HIGH WOODS (Country Park),GSP001220,1399691.01055145,8365.80979067278,cb14bd8e-1e62-48ed-a698-9e0d8aa1a2ee
180,1421905,country parks,HOLT,Known as a Country Park,39.61,TG084377,HOLT (Country Park),GSP001227,396144.884597778,2913.62497765523,5dac5132-e72d-4d41-8aa8-5f5c462063e7
181,1421906,country parks,HORNCHURCH,Known as a Country Park,102.86,TQ533841,HORNCHURCH (Country Park),,1028625.28605652,6625.32348393567,5dc6b4ac-9ceb-4a0f-a325-6bb92f7ed617
182,1421907,country parks,HORTON,Known as a Country Park,184.02,TQ187620,HORTON (Country Park),,1840211.85410309,8529.18433657566,be78eea6-eb46-4339-841b-5195996b7a02
183,1421908,country parks,HUMBER BRIDGE,Known as a Country Park,33.84,TA020257,HUMBER BRIDGE (Country Park),,338420.815490723,4059.66388366424,6aa90adc-e817-4c26-a31e-3fed0fdf533f
184,1442715,country parks,HUTTON,Known as a Country Park,38.92,TQ636958,HUTTON (Country Park),,389185.932914734,3728.10171698901,64b0a80a-6248-440a-92b4-7f5a49c8ec3f
185,1442991,country parks,ILAM ESTATE,Known as a Country Park,123.76,SK139512,ILAM ESTATE (Country Park),,1237644.08370972,11469.4615611487,d453346a-645a-4efe-8daa-41d2352173f5
186,1421909,country parks,IRCHESTER,Known as a Country Park,80.16,SP912660,IRCHESTER (Country Park),GSP001175,801641.566085815,4998.73608365719,47f05cb0-4f20-487d-8fb0-c05a39ed2baf
187,1421926,country parks,LICKEY HILLS,Known as a Country Park,213.64,SO995754,LICKEY HILLS (Country Park),GSP000903,2136385.44597626,13602.2062116557,5e138b2d-320b-4c15-8297-4624d7cc0683
188,1421927,country parks,LIGHTWATER,Known as a Country Park,53.21,SU913619,LIGHTWATER (Country Park),,532068.922119141,3863.33679289856,4341b203-1e00-45dd-a7f5-21e34690fd37
189,1421928,country parks,LITTLE BUDWORTH,Known as a Country Park,63.93,SJ585658,LITTLE BUDWORTH (Country Park),,639273.471244812,5220.59393710112,7d979f5c-6ac3-4170-9c72-33f533b9fcbe
190,1443075,country parks,LODMOOR,Known as a Country Park,108.15,SY686813,LODMOOR (Country Park),,1081474.35971832,6050.82812119571,5e00103a-65f8-4f58-8bba-d1b87fc83a48
191,1442993,country parks,LONELY FARM,Known as a Country Park,25.46,TM365651,LONELY FARM (Country Park),,254574.382064819,2724.53894395713,f0e08586-2f6c-4062-8067-d55beb384f74
192,1442994,country parks,LONGLAND LAKE,Known as a Country Park,14.69,NY012127,LONGLAND LAKE (Country Park),,146863.315948486,2270.41168544132,c8a7de8b-997a-47f6-b07f-4971d0a6fdb2
193,1421929,country parks,LONGSHAW,Known as a Country Park,613.27,SK254791,LONGSHAW (Country Park),,6132674.57173157,18066.9121775497,0bb6a1d8-d956-467e-8574-2de7ead7953c
194,1456157,country parks,LOTHERTON HALL ESTATE,Known as a Country Park,57.12,SE449359,LOTHERTON HALL ESTATE (Country Park),GSP001081,571162.531600952,3263.08188029886,d4f811c8-a2a9-4bb9-8879-84a1727c8392
195,1443076,country parks,LOWER LEAS COASTAL,Known as a Country Park,10.65,TR221353,LOWER LEAS COASTAL (Country Park),GSP001580,106453.06337738,3208.61930907198,b72d4988-e268-4b9b-aac2-ec3e7dd59fba
196,1443077,country parks,LULLINGSTONE & PRESTON HILL,Known as a Country Park,294.33,TQ521638,LULLINGSTONE & PRESTON HILL (Country Park),,2943345.91204834,11923.063649739,16390d19-59f3-422c-bde8-74026fd9fd83
197,1421931,country parks,LYDIARD PARK,Known as a Country Park,107.63,SU098847,LYDIARD PARK (Country Park),,1076273.98570251,6129.11361933214,fcbb5f2c-1a4c-421d-97fa-f2180cd85591
198,1442960,country parks,LYME VALLEY PARK,Known as a Country Park,555.26,SJ965820,LYME VALLEY PARK (Country Park),GSP003192,5552606.45513916,14736.7697748303,ab89c22c-6053-4d4a-89b0-95454fd34af6
199,1421910,country parks,ITCHEN VALLEY,Known as a Country Park,170.73,SU458166,ITCHEN VALLEY (Country Park),,1707327.15368271,13176.5168966163,98c5d47f-9d5a-43ca-8f12-a3a97519ccd8
200,1443070,country parks,JAMES STEEL PARK,Known as a Country Park,31.18,NZ317544,JAMES STEEL PARK (Country Park),,311812.288955688,9316.44714264759,ef66884f-adb0-47e6-ac10-d6384dce6f32
201,1443027,country parks,JESKYNS,Known as a Country Park,149.84,TQ663691,JESKYNS (Country Park),GSP003012,1498359.61489105,8378.39801149175,35616290-d552-4e1a-b733-2339bcfa90c2
202,1421911,country parks,JUBILEE,Known as a Country Park,42.17,TQ436680,JUBILEE (Country Park),GSP003299,421673.816413879,5703.99020079003,56ed09dc-41ef-40a1-8590-1600abaa4a9d
203,1421885,country parks,JUBILEE WOOD,Known as a Country Park,18.95,SK511167,JUBILEE WOOD (Country Park),,189527.295700073,2583.21656590833,03b0cc00-ce5b-43eb-ad3e-8d374675881a
204,1421912,country parks,JUMBLES,Known as a Country Park,44.97,SD735144,JUMBLES (Country Park),,449697.263092041,5268.57262445117,f60a70f5-deab-4db2-be9f-d73252d4f3e9
205,1443073,country parks,KENNINGTON PARK,Known as a Country Park,14.37,TQ314776,KENNINGTON PARK (Country Park),,143668.799926758,2514.42837838578,64a40146-1839-41ee-9ddd-d2717d4111e3
206,1442992,country parks,KESSINGLAND,Known as a Country Park,26.27,TM516858,KESSINGLAND (Country Park),,262684.593063354,4082.84677862459,11533599-2041-4928-aab3-b83014a2af85
207,1421915,country parks,KEYNES,Known as a Country Park,43.08,SU028957,KEYNES (Country Park),,430827.874801636,3555.15059885746,fa50098a-04fe-463d-bcd9-35b9cab71de2
208,1443157,country parks,KINGFISHER,Known as a Country Park,199.94,SP136882,KINGFISHER (Country Park),,1999354.76715851,21653.6937379307,b07f5f56-cee5-44f3-b54c-1af54b2f81b7
209,1421916,country parks,KINGSBURY WATER PARK,Known as a Country Park,259.64,SP207964,KINGSBURY WATER PARK (Country Park),,2596398.00777435,11020.861835712,fcf4880c-080b-4f22-a1b4-9ff416dfe51f
210,1442959,country parks,KINGSFORD,Known as a Country Park,86.65,SO827817,KINGSFORD (Country Park),,866470.700630188,7011.47427711317,9b48db70-c72e-4e60-83dd-381e80e144a7
211,1421917,country parks,KIT HILL,Known as a Country Park,159.25,SX376713,KIT HILL (Country Park),,1592529.55249214,7158.22184696778,cd60d7d7-3156-4624-9b02-b53b48780ae1
212,1421918,country parks,KNEBWORTH,Known as a Country Park,139.78,TL228211,KNEBWORTH (Country Park),,1397811.92428589,7164.25096598116,79acaecf-6c71-4770-9c0e-7fe11090a5d7
213,1442716,country parks,KNETTISHALL HEATH,Known as a Country Park,149.22,TL951804,KNETTISHALL HEATH (Country Park),,1492159.49383545,7916.40424778819,5db4fc4d-aadb-486c-8c03-43f42466e094
214,1421919,country parks,LADDEREDGE,Known as a Country Park,26.99,SJ970549,LADDEREDGE (Country Park),,269942.080078125,4739.06860157936,03c18d56-46d5-4738-9b40-56b402b9b84e
215,1442727,country parks,LAKE FARM,Known as a Country Park,24.23,TQ090803,LAKE FARM (Country Park),GSP001356,242255.076896667,2523.01355601591,7359e992-90ca-47f6-9d3c-570813a610d0
216,1421920,country parks,LAKESIDE,Known as a Country Park,22.03,SU446176,LAKESIDE (Country Park),,220258.932468414,2211.49018368256,b273fd35-1916-40e2-8336-1a895da99c19
217,1443036,country parks,LAKESIDE NATURE RESERVE,Known as a Country Park,15.6,SU888517,LAKESIDE NATURE RESERVE (Country Park),,156022.734809875,2422.66780274919,73a2472b-5f97-4389-80c6-ac9fed7e1045
218,1421921,country parks,LANGDON HILLS,Known as a Country Park,10.25,TQ677865,LANGDON HILLS (Country Park),,102483.512031555,1523.43882667509,80a0de5b-8031-4d59-baaa-8d92e41aeeef
219,1421922,country parks,LANGLEY PARK,Known as a Country Park,61.61,TQ012821,LANGLEY PARK (Country Park),,616088.222618103,5289.85355042938,b4073c60-8070-41f3-9cfd-1da63ac9e6cb
220,1421923,country parks,LANGOLD PARK,Known as a Country Park,51.39,SK580864,LANGOLD PARK (Country Park),,513863.448822021,5912.62109497256,95fb8827-3b5d-42aa-9cde-ad3d086aaa8b
221,1443039,country parks,LANGROYD,Known as a Country Park,9.86,SD889413,LANGROYD (Country Park),,98588.4336700439,1474.98233990077,3ef6528d-ba94-4efd-96e0-fc78b91320f0
222,1421925,country parks,LEPE,Known as a Country Park,13.52,SZ461985,LEPE (Country Park),,135194.014812469,3983.20856556156,1e4567e5-c8b4-4a74-97c2-33774fa1eb10
223,1451100,country parks,LEVER PARK,Known as a Country Park,151.69,SD631136,LEVER PARK (Country Park),,1516936.6018219,6513.73353232533,027cac16-c884-4f71-a627-e30d349a2ae1
224,1442735,country parks,LEYBOURNE LAKES,Accredited,89.97,TQ704602,LEYBOURNE LAKES (Country Park),GSP001420,899709.929595947,5759.39949908619,d56d939a-3802-4bb8-aaa1-aa06a3baf210
225,1443074,country parks,LEYSDOWN COASTAL,Known as a Country Park,28.86,TR041699,LEYSDOWN COASTAL (Country Park),,288558.592636108,3647.44111853863,3f6f518a-c25b-4c16-b0ab-57ca10bdce00
226,1443085,country parks,NEWBOLD COMYN,Known as a Country Park,55.5,SP335659,NEWBOLD COMYN (Country Park),,554975.98638916,3684.061573886,bc255c1b-31b6-4f30-8268-db3b7ef49bd4
227,1443086,country parks,NEWBOLD QUARRY,Known as a Country Park,9.43,SP494769,NEWBOLD QUARRY (Country Park),,94255.4283370972,1396.75474738152,06f450e4-1edd-4f5d-8574-fe7c95b875ca
